X,Y,id_plano_b,numfistel,nomefase,siglauf,nomemunici,nomeentida,numservico,codcanal,medlatitud,medlongitu,mederpmax,classe,metadado,icon_url
-43.9297222222222,-19.9708333333333,"79158783","04030147518",Licenciada,MG,Belo Horizonte,TRIANON SISTEMA DE COMUNICAÇÃO LTDA.,"167","19",-19.9708333333333349912663834402338,-43.9297222222222245591183309443295,16.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.9297222222222,-19.9708333333333,"79159097","04030147607",Licenciada,MG,Belo Horizonte,SOCIEDADE RÁDIO ALVORADA LTDA.,"167","21",-19.9708333333333349912663834402338,-43.9297222222222245591183309443295,16.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-51.1830555555556,-30.0802777777778,"79159416","03030158705",Licenciada,RS,Porto Alegre,BOA VENTURA EMPRESA DE SERVICO DE ACESSO CONDICIONADO LTDA,"167","42",-30.0802777777777770040756877278909,-51.1830555555555548608026583679020,1000.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.9297222222222,-19.9708333333333,"79160427","04030147860",Licenciada,MG,Belo Horizonte,CENTRAL TVA - TELEVISÃO POR ASSINATURA E RADIODIFUSÃO LTDA,"167","29",-19.9708333333333349912663834402338,-43.9297222222222245591183309443295,80.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-38.5113888888889,-13.0038888888889,"79160936","50417112750",Outorgada,BA,Salvador,TELEVISÃO SALVADOR LTDA,"167","28",-13.0038888888888894967976739280857,-38.5113888888888880046579288318753,8.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.2222222222222,-22.9488888888889,"79170875","01030101574",Licenciada,RJ,Rio de Janeiro,NOVA COMUNICAÇÃO E RADIODIFUSÃO LTDA.,"167","57",-22.9488888888888880046579288318753,-43.2222222222222214327302935998887,50.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-44.3047222222222,-2.50525,"79173733","18000001543",Licenciada,MA,São Luís,TV UPAON-AÇU LTDA.,"167","28",-2.5052500000000001989519660128281,-44.3047222222222245591183309443295,160.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-46.6644444444444,-23.5547222222222,"79174254","02030455210",Licenciada,SP,São Paulo,PIRA SOM E IMAGEM S.A,"167","21",-23.5547222222222210064046521438286,-46.6644444444444417285922099836171,461.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.9288888888889,-19.97,"79176139","04020566631",Licenciada,MG,Belo Horizonte,SISTEMA UNIVERSAL DE TELECOMUNICACOES LTDA,"167","24",-19.9699999999999988631316227838397,-43.9288888888888919836972490884364,16.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.2293888888889,-22.94975,"79179862","01032224800",Licenciada,RJ,Rio de Janeiro,MCI TELEVISÃO S/A,"167","33",-22.9497500000000016484591469634324,-43.2293888888888915289498982019722,100.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-49.28,-25.3941666666667,"79184411","05030339957",Licenciada,PR,Curitiba,BOA VENTURA EMPRESA DE SERVICO DE ACESSO CONDICIONADO LTDA,"167","32",-25.3941666666666669982532766880468,-49.2800000000000011368683772161603,8.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-49.28,-25.3941666666667,"79187091","05030339795",Licenciada,PR,Curitiba,MCI TELEVISÃO S/A,"167","57",-25.3941666666666669982532766880468,-49.2800000000000011368683772161603,8.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-46.66,-23.5577777777778,"79188522","02030454915",Licenciada,SP,São Paulo,MCI TELEVISÃO S/A,"167","33",-23.5577777777777761514244048157707,-46.6599999999999965893948683515191,16.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-46.6818055555556,-23.5448055555556,"79189067","02030455300",Licenciada,SP,São Paulo,BOA VENTURA EMPRESA DE SERVICO DE ACESSO CONDICIONADO LTDA,"167","30",-23.5448055555555555429236846975982,-46.6818055555555559976710355840623,50.0000000000000000000000000000000,E,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
-43.2357222222222,-22.9516111111111,"79192422","01030101493",Licenciada,RJ,Rio de Janeiro,BOA VENTURA EMPRESA DE SERVICO DE ACESSO CONDICIONADO LTDA,"167","58",-22.9516111111111094089665130013600,-43.2357222222222219443210633471608,80.0000000000000000000000000000000,A,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=21&currTab=simple"" target=""_blank"">Acessar</a>",./0.png
